시/군/구,연도,월,노선,시종점,일시,이용객수,시간범위
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,236,00~01
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,19,01~02
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,2,04~05
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,72,05~06
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,225,06~07
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,481,07~08
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,749,08~09
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,884,09~10
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,980,10~11
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,991,11~12
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1122,12~13
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1230,13~14
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1165,14~15
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1202,15~16
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1216,16~17
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1404,17~18
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,1313,18~19
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,986,19~20
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,912,20~21
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,942,21~22
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,905,22~23
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,주말,553,23~24
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,178,00~01
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,7,01~02
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,2,04~05
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,172,05~06
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,576,06~07
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1386,07~08
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,2243,08~09
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1317,09~10
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,871,10~11
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1006,11~12
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1082,12~13
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1139,13~14
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1162,14~15
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1305,15~16
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1537,16~17
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1676,17~18
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,2069,18~19
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1716,19~20
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1198,20~21
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1143,21~22
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,1087,22~23
수원시,2024,1,13-1,수원남부버스공영차고지-금곡동강남아파트,평일,614,23~24
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,32,00~01
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,32,00~01
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,4,05~06
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,4,05~06
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,20,05~06
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,20,05~06
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,121,06~07
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,156,06~07
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,156,06~07
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,121,06~07
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,178,07~08
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,178,07~08
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,152,07~08
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,152,07~08
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,330,08~09
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,330,08~09
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,238,08~09
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,238,08~09
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,390,09~10
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,390,09~10
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,255,09~10
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,255,09~10
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,285,10~11
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,403,10~11
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,285,10~11
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,403,10~11
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,246,11~12
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,246,11~12
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,445,11~12
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,445,11~12
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,498,12~13
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,300,12~13
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,300,12~13
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,498,12~13
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,596,13~14
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,243,13~14
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,243,13~14
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,596,13~14
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,285,14~15
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,371,14~15
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,371,14~15
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,285,14~15
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,424,15~16
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,424,15~16
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,325,15~16
수원시,2024,1,2-1,동원고(마을)-조원주공아파트,주말,325,15~16
수원시,2024,1,2-1,수원남부버스공영차고지-진흥.천천푸르지오아파트,주말,483,16~17
